S.No.,Breadth(a),Breadth(b),mean width,Original Width
113,34.52812496,35.90395829,70.43208325,3.0
114,34.55458329,35.00437496,69.55895824999999,3.01
115,35.42770829,36.85645829,72.28416658,3.3
116,36.32729162,36.75062495,73.07791657,3.04
117,37.80895829,36.72416662,74.53312491,3.19
118,35.18958329,35.00437496,70.19395825000001,3.26
119,36.82999995,37.33270829,74.16270824,3.09
120,36.40666662,37.43854162,73.84520824,3.12
121,34.05187496,35.03083329,69.08270825,3.25
122,33.46979162,32.22624996,65.69604158,3.24
123,33.54916662,33.09937496,66.64854158,2.97
124,36.35374995,38.25874995,74.6124999,2.95
125,36.40666662,35.93041662,72.33708324,2.94
126,36.85645829,36.72416662,73.58062491,3.18
127,37.78249995,34.97791662,72.76041657,3.13
128,33.12583329,32.88770829,66.01354158000001,3.04
129,34.79270829,35.00437496,69.79708325,3.15
130,34.07833329,34.81916662,68.89749991,3.21
131,32.19979163,32.19979163,64.39958326,3.11
132,36.80354162,35.87749995,72.68104156999999,2.97
133,36.88291662,34.97791662,71.86083324,3.31
134,36.96229162,36.40666662,73.36895824000001,2.9
135,37.62374995,38.23229162,75.85604157,3.06
136,37.09458329,36.38020829,73.47479158,3.2
137,37.30624995,37.41208329,74.71833323999999,3.19
138,34.97791662,35.79812495,70.77604157,3.26
139,33.60208329,33.54916662,67.15124991,3.21
140,33.09937496,32.06749996,65.16687492,3.15
141,40.32249995,39.18479162,79.50729157,3.13
142,38.70854162,39.63458328,78.34312489999999,3.2
143,38.04708329,39.10541662,77.15249991,3.09
144,34.50166662,35.45416662,69.95583324,3.4
145,32.64958329,33.60208329,66.25166658,3.32
146,35.69229162,34.97791662,70.67020824,3.35
147,35.58645829,36.88291662,72.46937491,3.12
148,35.79812495,34.87208329,70.67020824,3.31
149,37.17395829,35.90395829,73.07791658,2.91
150,36.82999995,36.45958329,73.28958324,3.32
151,33.60208329,35.00437496,68.60645825,2.99
152,37.33270829,37.38562495,74.71833323999999,3.05
153,34.07833329,34.50166662,68.57999991,3.21
154,32.67604163,31.74999996,64.42604159,3.0
155,32.57020829,34.50166662,67.07187490999999,3.4
156,30.82395829,31.30020829,62.12416658,2.93
157,33.91958329,34.26354162,68.18312491,3.05
158,36.72416662,39.13187495,75.85604157,3.11
159,37.30624995,36.88291662,74.18916657,2.9
160,37.41208329,38.54979162,75.96187491,3.0
161,33.60208329,33.09937496,66.70145825,3.11
162,36.16854162,37.20041662,73.36895824,3.27
163,34.97791662,36.38020829,71.35812491,3.32
164,33.62854162,33.62854162,67.25708324,2.95
165,35.90395829,39.68749995,75.59145824000001,3.14
166,39.10541662,36.64479162,75.75020824,3.14
167,35.32187496,36.35374995,71.67562491000001,3.2
168,36.40666662,36.38020829,72.78687491,3.41
169,35.48062496,36.24791662,71.72854158,3.04
170,35.00437496,36.38020829,71.38458324999999,3.18
171,37.33270829,35.34833329,72.68104158,3.04
172,35.48062496,34.84562496,70.32624992000001,3.06
173,36.24791662,37.65020829,73.89812491,3.18
174,39.81979162,39.66104162,79.48083324,3.02
175,38.65562495,37.43854162,76.09416657,3.16
176,36.38020829,36.35374995,72.73395823999999,3.46
177,33.89312496,34.02541662,67.91854158000001,3.28
178,35.90395829,38.68208328,74.58604156999999,3.21
179,37.06812495,39.39645828,76.46458322999999,3.21
180,35.45416662,34.97791662,70.43208324,2.98
181,34.97791662,32.64958329,67.62749991000001,3.22
182,35.87749995,35.29541662,71.17291657,3.33
183,38.73499995,38.47041662,77.20541657000001,3.04
184,35.40124996,35.87749995,71.27874991,3.15
185,37.43854162,37.75604162,75.19458324,3.18
186,37.78249995,38.25874995,76.0412499,3.34
187,33.60208329,31.74999996,65.35208325,3.12
188,35.40124996,35.93041662,71.33166658,3.22
189,37.78249995,38.70854162,76.49104157,3.09
190,32.22624996,32.62312496,64.84937492,2.93
191,35.13666662,36.80354162,71.94020824,2.99
192,39.95208328,38.65562495,78.60770823,3.2
193,35.00437496,34.50166662,69.50604158,2.84
194,33.62854162,32.70249996,66.33104158,3.08
195,34.97791662,35.48062496,70.45854158,3.29
196,35.45416662,35.87749995,71.33166657000001,3.06
197,31.61770829,31.74999996,63.36770825,2.99
198,35.00437496,35.26895829,70.27333325000001,3.08
199,34.87208329,36.72416662,71.59624991,3.06
200,36.30083329,34.95145829,71.25229157999999,3.12
201,36.61833329,37.72958329,74.34791658,2.83
202,36.69770829,36.88291662,73.58062491000001,2.98
203,35.90395829,36.85645829,72.76041658,3.23
204,35.93041662,35.95687495,71.88729157,3.08
205,33.12583329,34.87208329,67.99791658000001,3.4
206,32.22624996,31.72354163,63.94979159,3.17
207,32.70249996,35.93041662,68.63291658,3.37
208,33.97249996,35.93041662,69.90291658000001,3.12
209,34.95145829,33.12583329,68.07729158000001,2.93
210,34.26354162,34.58104162,68.84458323999999,2.74
211,34.95145829,33.73437496,68.68583325,3.0
212,37.51791662,37.27979162,74.79770823999999,2.97
213,34.02541662,34.07833329,68.10374991,3.08
214,35.82458329,35.45416662,71.27874991,3.01
215,31.24729163,31.74999996,62.99729159,3.13
216,37.41208329,37.49145829,74.90354158,3.29
217,34.42229162,34.47520829,68.89749991,3.06
218,36.80354162,36.85645829,73.65999991,3.21
219,35.87749995,33.62854162,69.50604157000001,2.8
220,34.47520829,34.55458329,69.02979158,3.29
221,37.33270829,38.70854162,76.04124991,3.15
222,34.97791662,34.50166662,69.47958324000001,3.14
223,33.57562496,31.61770829,65.19333325,3.09
224,37.72958329,38.25874995,75.98833324,3.25
225,37.65020829,38.31166662,75.96187491,3.31
226,35.87749995,36.40666662,72.28416657,3.01
227,34.02541662,34.47520829,68.50062491,3.02
228,31.69708329,34.52812496,66.22520825,3.2
229,36.22145829,34.95145829,71.17291657999999,3.38
230,32.54374996,33.07291663,65.61666659,3.28
231,35.00437496,36.24791662,71.25229157999999,3.1
232,36.38020829,36.88291662,73.26312491,3.17
233,35.77166662,35.87749995,71.64916657,3.38
234,32.19979163,32.22624996,64.42604159,2.96
235,34.55458329,36.35374995,70.90833323999999,3.15
236,32.64958329,34.52812496,67.17770825,3.11
237,38.20583329,39.68749995,77.89333324,3.16
238,35.93041662,35.40124996,71.33166658,2.92
239,37.30624995,34.95145829,72.25770824,3.09
240,37.33270829,37.30624995,74.63895824,2.84
241,35.42770829,36.16854162,71.59624991,3.16
242,39.21124995,36.82999995,76.0412499,3.29
243,38.65562495,39.13187495,77.7874999,3.18
244,35.93041662,36.85645829,72.78687491,3.12
245,34.07833329,34.07833329,68.15666658,3.23
246,34.55458329,35.95687495,70.51145824,3.36
247,35.00437496,34.60749996,69.61187491999999,3.23
248,36.40666662,36.40666662,72.81333324,3.23
249,37.27979162,36.85645829,74.13624991,3.17
250,35.00437496,35.95687495,70.96124990999999,3.05
251,35.48062496,35.42770829,70.90833325,2.98
252,34.97791662,33.57562496,68.55354158,3.12
253,32.22624996,31.30020829,63.52645825,2.99
254,37.27979162,36.82999995,74.10979157,3.08
255,35.45416662,34.36937496,69.82354158000001,2.9
256,34.47520829,33.62854162,68.10374991,3.11
257,38.44395828,39.21124995,77.65520823,2.93
258,38.44395828,37.06812495,75.51208323,3.14
259,35.00437496,35.48062496,70.48499992,3.29
260,35.87749995,36.30083329,72.17833324,2.96
261,38.47041662,39.66104162,78.13145824,3.41
262,37.72958329,38.12645829,75.85604158000001,3.28
263,32.49083329,33.46979162,65.96062491,3.18
264,36.85645829,36.67124995,73.52770824000001,3.1
265,37.09458329,38.70854162,75.80312491000001,3.29
266,36.32729162,35.48062496,71.80791658,3.29
267,34.95145829,35.00437496,69.95583325,2.89
268,36.80354162,36.16854162,72.97208323999999,3.35
269,35.71874996,36.82999995,72.54874991,3.3
270,38.20583329,37.04166662,75.24749991,2.94
271,38.25874995,37.33270829,75.59145824000001,2.82
272,32.67604163,31.24729163,63.92333326,3.12
273,35.11020829,37.65020829,72.76041658,3.1
274,36.27437495,38.02062495,74.2949999,3.43
275,35.32187496,35.45416662,70.77604158,3.19
276,30.82395829,31.24729163,62.07124992,2.83
277,34.95145829,34.97791662,69.92937491,3.18
278,34.02541662,34.52812496,68.55354158,3.12
279,35.42770829,34.73979162,70.16749991,3.17
280,33.49624996,34.47520829,67.97145825,2.78
281,32.67604163,32.22624996,64.90229159,3.1
282,32.62312496,34.47520829,67.09833325,3.18
283,41.06333328,40.21666662,81.2799999,3.03
284,33.49624996,34.50166662,67.99791658000001,3.08
