S.No.,filename,Length (cm),Original Length,ratio
0,DSC04382.JPG,21.80166664,5.25,4.152698408
1,DSC04384.JPG,22.27791664,5.25,4.243412693
2,DSC04385.JPG,23.86541664,5.88,4.058744327
3,DSC04386.JPG,22.6483333,5.88,3.851757364
4,DSC04387.JPG,21.82812497,4.99,4.374373741
5,DSC04388.JPG,20.90208331,4.99,4.188794251
6,DSC04389.JPG,21.37833331,4.91,4.354039371
7,DSC04390.JPG,21.24604164,4.91,4.327096057
8,DSC04391.JPG,23.62729164,5.18,4.561253212
9,DSC04392.JPG,21.93395831,5.18,4.234354886
10,DSC04393.JPG,20.90208331,5.08,4.114583329
11,DSC04394.JPG,20.90208331,5.08,4.114583329
12,DSC04395.JPG,20.92854164,4.79,4.369215374
13,DSC04396.JPG,20.47874997,4.79,4.275313146
14,DSC04397.JPG,20.92854164,5.45,3.840099383
15,DSC04398.JPG,21.82812497,5.45,4.005160545
16,DSC04399.JPG,21.61645831,5.3,4.07857704
17,DSC04400.JPG,22.06624997,5.3,4.163443391
18,DSC04401.JPG,22.70124997,5.38,4.219563191
19,DSC04402.JPG,21.80166664,5.38,4.052354394
20,DSC04403.JPG,23.17749997,5.31,4.364877584
21,DSC04404.JPG,22.48958331,5.31,4.235326424
22,DSC04405.JPG,21.80166664,5.38,4.052354394
23,DSC04406.JPG,22.62187497,5.38,4.204809474
24,DSC04407.JPG,22.70124997,5.15,4.408009703
25,DSC04408.JPG,21.37833331,5.15,4.151132682
26,DSC04409.JPG,21.82812497,5.41,4.034773562
27,DSC04410.JPG,22.7277083,5.41,4.201055139
28,DSC04411.JPG,22.17208331,5.41,4.098351813
29,DSC04412.JPG,23.15104164,5.41,4.279305294
30,DSC04413.JPG,21.80166664,5.22,4.17656449
31,DSC04414.JPG,21.35187497,5.22,4.090397504
32,DSC04415.JPG,20.92854164,4.91,4.262432106
33,DSC04416.JPG,20.90208331,4.91,4.257043444
34,DSC04417.JPG,25.4264583,5.85,4.346403128
35,DSC04418.JPG,25.00312497,5.85,4.274038456
36,DSC04419.JPG,21.85458331,5.18,4.219031527
37,DSC04420.JPG,22.27791664,5.18,4.300756108
38,DSC04421.JPG,22.93937497,5.42,4.232357006
39,DSC04422.JPG,24.42104164,5.42,4.50572724
40,DSC04423.JPG,20.45229164,4.88,4.191043369
41,DSC04424.JPG,20.34645831,4.88,4.169356211
42,DSC04425.JPG,21.35187497,5.09,4.194867381
43,DSC04426.JPG,20.92854164,5.09,4.111697768
44,DSC04427.JPG,22.27791664,4.91,4.537253898
45,DSC04428.JPG,22.27791664,4.91,4.537253898
46,DSC04429.JPG,21.69583331,5.2,4.172275637
47,DSC04430.JPG,20.82270831,5.2,4.004366983
48,DSC04431.JPG,19.57916664,4.8,4.07899305
49,DSC04432.JPG,20.02895831,4.8,4.172699648
50,DSC04433.JPG,22.70124997,5.7,3.982675433
51,DSC04434.JPG,23.41562497,5.7,4.108004381
52,DSC04435.JPG,23.62729164,5.48,4.311549569
53,DSC04436.JPG,23.2039583,5.48,4.23429896
54,DSC04437.JPG,21.35187497,5.51,3.875113425
55,DSC04438.JPG,21.80166664,5.51,3.956745307
56,DSC04439.JPG,20.92854164,4.79,4.369215374
