S.No.,Cocoon Weight (gm),Cocoon length(cm),mean width(cm),Cross sectional Area (cm2),Cocoon Volume (cm3),Shell Weight (gm),Category
253,9.14,5.14,2.91,21.6,23.8,1.42,Daba RC II
254,13.56,5.31,3.32,26.28,33.5,2.15,Daba RC I
255,9.96,5,2.99,21.97,26.8,1.53,Daba RC II
256,11.97,5.23,3.05,23.25,30.2,1.41,Daba RC II
257,13.4,5.31,3.21,25.08,34.1,1.58,Daba RC I
258,11.9,4.95,3,21.92,28.4,1.43,Daba RC II
259,11.99,5.21,3.4,26.79,36.2,1.87,Daba RC I
260,9.39,4.91,2.93,21.13,26.7,1.65,Daba RC I
261,8.57,4.75,3.05,21.79,26.4,1.02,Daba RC III
262,11.35,4.95,3.11,22.94,30.4,1.39,Daba RC II
263,10.03,4.52,2.9,19.71,23.2,1.53,Daba RC II
264,11.58,5,3,22.07,27.1,1.58,Daba RC I
265,12.32,5.88,3.11,25.83,31.5,1.72,Daba RC I
266,13.19,5.3,3.27,25.67,33.5,1.71,Daba RC I
267,12.98,5.58,3.32,27.18,37.4,1.93,Daba RC I
268,8.7,4.79,2.95,20.96,24.7,1.34,Daba RC II
269,12.09,5.25,3.14,24.17,28.5,1.3,Daba RC II
270,9.47,5.28,3.14,24.27,31.1,1.63,Daba RC I
271,9.04,4.84,3.2,23.48,28.5,1.49,Daba RC II
272,14.16,5.4,3.41,27.49,34.2,2.03,Daba RC I
273,11.86,5.41,3.04,23.7,31.9,1.54,Daba RC II
274,12.9,5.28,3.18,24.73,33.2,1.69,Daba RC I
275,11.19,5.32,3.04,23.43,30,1.55,Daba RC I
276,11.74,5.24,3.06,23.38,28.2,1.52,Daba RC II
277,11.51,5.14,3.18,24.28,30.7,1.85,Daba RC I
278,10.56,5.31,3.02,23.15,26.4,1.62,Daba RC I
279,9.31,4.95,3.16,23.48,29.3,1.63,Daba RC I
280,13.46,5.3,3.46,27.68,39.2,1.77,Daba RC I
281,12.88,5.6,3.28,26.81,37,1.92,Daba RC I
282,11.36,5.4,3.21,25.42,34.5,1.55,Daba RC I
283,5.29,5.21,3.21,24.76,33.5,1.63,Daba RC I
284,9.94,4.98,2.98,21.81,29.8,1.34,Daba RC II
285,12.61,5.4,3.22,25.53,33.5,1.44,Daba RC II
286,13.38,5.52,3.33,27.03,39.8,1.92,Daba RC I
