S.No.,Cocoon Weight (gm),Cocoon length(cm),mean width(cm),Cross sectional Area (cm2),Cocoon Volume (cm3),Shell Weight (gm),Category
382,10.4,5.48,3.12,24.74,29.1,1.73,Daba RC I
383,11.23,5.08,3.17,23.99,29.6,1.41,Daba RC II
384,9.11,4.51,2.78,18.6,20.6,1.44,Daba RC II
385,11.09,5.05,3.1,23.2,30.6,1.38,Daba RC II
386,11.45,5.04,3.18,23.92,29.9,1.4,Daba RC II
387,10.84,5.04,3.03,22.48,19.1,1.12,Daba RC III
388,9.82,4.98,3.08,22.79,28.1,1.58,Daba RC I
389,11.43,4.7,3.07,21.78,24.5,1.44,Daba RC II
390,12.04,5.08,3.13,23.59,28.2,1.78,Daba RC I
391,15.38,5.85,3.5,30.03,43.1,2.26,Daba RC Super
392,9.25,5.04,2.71,19.38,21.8,1.15,Daba RC III
393,13.13,5.35,3.37,26.89,34.9,1.8,Daba RC I
394,9.88,4.98,2.97,21.72,24.3,1.45,Daba RC II
395,12.08,5.16,3.24,24.91,27.6,1.66,Daba RC I
396,11.02,5.2,3.16,24.22,30.3,1.73,Daba RC I
397,7.21,4.85,3,21.62,24.2,1.02,Daba RC III
398,8.28,4.82,2.81,19.74,20.5,1.07,Daba RC III
399,11.73,5.38,3.28,26.09,26.2,1.24,Daba RC III
400,8.38,5.23,3.1,23.76,30.2,1.86,Daba RC I
401,10.25,4.98,3.15,23.48,26.5,1.19,Daba RC III
402,10.76,4.95,3.15,23.33,29.3,1.5,Daba RC II
403,9.35,4.9,3.11,22.78,23,1.46,Daba RC II
404,13.62,5.59,3.19,25.77,34.1,1.77,Daba RC I
405,11.57,5.31,3.4,27.08,31.5,1.32,Daba RC II
406,8.91,4.96,3.03,22.24,25.2,1.2,Daba RC III
407,13.02,5.21,3.08,23.44,24.8,1.46,Daba RC II
408,7.97,4.62,2.83,19.32,22.4,1.24,Daba RC III
409,10.28,4.71,3.06,21.76,24,1.59,Daba RC I
410,10.78,5.19,3.15,24.09,30.5,1.33,Daba RC II
411,12.4,5.45,3.18,25.27,30.9,1.45,Daba RC II
412,9.12,5.47,3.39,27.51,37.5,1.8,Daba RC I
413,7.12,4.7,2.74,18.77,22.6,0.96,Daba RC III
414,11.67,5.13,3.01,22.55,30.8,1.15,Daba RC III
415,14.04,5.3,3.18,24.79,30.9,1.79,Daba RC I
416,10.73,5,2.97,21.73,28.6,1.53,Daba RC II
417,10.87,5.06,2.93,21.52,26.1,1.4,Daba RC II
