                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45142,                0.45352,                 0.7699,                0.92115,                0.99865,                      1,                  0.995,                0.91609,                0.99865,                      1,                  0.995,                0.99355,                0.45923,                0.32286,                0.64417,                0.95318,                 0.0004,                 0.0004,                 0.0004
                      2,                0.38361,                0.35115,                0.49422,                0.87484,                0.99938,                      1,                  0.995,                 0.9366,                0.99938,                      1,                  0.995,                0.98209,                0.34415,                0.35959,                0.63352,                0.88278,             0.00081188,             0.00081188,             0.00081188
                      3,                0.39617,                0.34186,                0.45026,                 0.8966,                0.99932,                      1,                  0.995,                0.98015,                0.99932,                      1,                  0.995,                  0.995,                0.26769,                0.29467,                0.45299,                 0.8121,              0.0012154,              0.0012154,              0.0012154
